464	459	471	512	519	520
457	470	463	520	511	512
463	456	475	506	522	507
462	463	469	513	513	514
464	463	464	516	511	501
464	461	472	512	511	516
464	463	468	515	511	499
464	470	462	522	506	528
461	463	464	522	513	508
467	466	463	520	511	512
464	461	472	512	511	504
471	457	472	511	515	510
459	464	467	512	511	512
463	460	471	516	515	508
461	466	465	519	518	511
461	464	465	511	505	511
464	459	471	512	515	500
470	456	475	507	524	503
464	460	471	516	519	516
464	463	464	516	513	520
463	463	469	514	513	512
459	464	476	512	522	499
456	471	463	517	515	507
463	463	469	514	513	514
466	459	464	520	512	507
464	461	472	512	504	511
464	463	461	525	511	513
461	463	469	514	512	514
464	459	471	512	515	508
464	459	472	505	516	523
463	460	471	517	511	512
464	463	468	507	510	513
461	463	469	516	520	511
463	460	471	516	519	520
464	459	464	516	503	513
463	464	471	501	513	507
464	459	470	515	519	512
463	463	469	519	504	515
463	460	471	508	511	511
463	460	471	516	515	520
463	463	466	513	511	504
456	468	463	528	507	518
463	463	469	515	520	507
464	459	470	512	511	504
463	464	467	518	512	502
464	462	471	512	522	503
465	459	469	520	515	511
463	462	472	511	511	512
463	460	471	516	519	520
456	464	467	515	512	523
463	455	470	511	512	517
460	463	468	512	510	503
463	470	463	515	511	513
463	464	467	508	512	511
463	458	474	507	512	511
456	466	463	512	511	519
464	463	468	517	520	515
461	458	468	513	510	503
463	463	469	514	513	514
464	463	462	520	511	512
463	456	477	512	511	508
461	464	467	522	513	511
463	464	469	508	512	520
463	456	472	512	518	508
463	464	467	520	515	507
456	469	463	515	514	517
460	463	468	509	508	512
468	460	471	512	512	488
463	464	467	511	505	511
464	463	468	511	508	513
468	457	475	507	516	511
459	463	465	515	508	503
466	460	471	520	512	511
463	464	467	511	512	496
464	463	468	517	516	503
456	469	463	525	505	524
464	463	468	515	511	519
459	460	474	505	516	511
464	459	470	512	511	500
464	459	471	506	511	512
457	464	471	510	512	520
463	463	469	515	513	513
468	461	464	516	507	512
464	459	470	515	512	524
463	464	463	516	511	510
461	463	469	514	513	512
455	460	471	507	512	522
460	463	468	511	512	528
464	463	468	516	511	512
459	463	465	511	508	507
463	463	468	514	513	511
464	463	468	517	520	515
459	463	463	512	511	518
464	459	472	503	512	507
460	463	466	519	516	515
463	462	469	520	509	519
464	463	468	511	508	519
463	460	469	510	512	508
463	463	469	513	512	520
457	464	471	512	511	518
463	462	469	512	512	511
464	463	468	515	511	503
467	456	470	511	512	520
464	460	474	512	527	509
465	459	471	516	512	518
463	461	468	520	513	518
460	463	466	519	516	515
459	464	471	511	512	520
464	459	464	511	512	518
463	464	467	518	512	507
463	464	471	511	512	518
461	464	465	520	512	523
465	459	471	510	507	508
455	465	465	513	513	516
461	463	465	519	512	523
463	457	467	511	512	510
463	462	469	515	513	514
457	466	463	512	511	512
456	469	463	511	513	516
463	460	471	516	515	524
463	463	467	512	516	507
459	463	464	519	514	507
464	459	470	516	512	511
456	468	463	515	514	517
463	459	471	508	511	516
467	464	471	516	513	516
460	463	468	515	511	523
463	460	471	508	509	511
459	462	469	515	514	515
463	464	467	520	515	511
463	464	467	510	508	511
460	463	466	511	508	504
463	464	469	516	513	508
463	463	469	515	513	512
463	464	467	516	515	524
463	464	471	520	511	498
463	462	469	514	513	511
465	463	464	511	503	531
459	462	469	514	514	514
464	459	471	512	515	520
460	463	466	511	508	512
459	463	465	519	512	526
463	454	472	511	511	517
464	459	468	511	512	503
463	460	471	516	513	504
463	460	464	511	503	520
463	464	467	512	524	511
464	459	471	505	511	504
463	462	469	513	512	520
463	464	469	520	515	524
460	456	472	511	519	508
456	461	475	505	522	507
463	460	471	520	519	516
464	462	468	514	511	510
